path,operation,advisor_id,authorization_state,notes
site-src/academic/directory/assets/data.js,MODIFY,,PENDING_OWNER_RELEASE_AUTHORIZATION,"Add exactly 8 directory records; preserve 13 existing records and project 20 public + 1 review-only"
site-src/academic/profile/data/public-dto.json,MODIFY,,PENDING_OWNER_RELEASE_AUTHORIZATION,"Add exactly 8 public DTO entries; preserve existing 12"
site-src/t02-src/data.js,MODIFY,,PENDING_OWNER_RELEASE_AUTHORIZATION,"v1.0.6 featured ordering, year fallback and evidence-lane adapter"
site-src/t02-src/template.js,MODIFY,,PENDING_OWNER_RELEASE_AUTHORIZATION,"Student-facing publication wording; no audit-dashboard overclaim"
site-src/t02-src/template.css,MODIFY,,PENDING_OWNER_RELEASE_AUTHORIZATION,"Minimal presentation support for evidence lanes"
site-src/academic/profile/data/packs/chen-shuhua/public-advisor-v1.json,ADD,chen-shuhua,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/chen-shuhua/evidence-manifest-v1.json,ADD,chen-shuhua,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/chen-shuhua/validation-report-v1.json,ADD,chen-shuhua,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/deng-meichun/public-advisor-v1.json,ADD,deng-meichun,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/deng-meichun/evidence-manifest-v1.json,ADD,deng-meichun,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/deng-meichun/validation-report-v1.json,ADD,deng-meichun,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/deng-suixin/public-advisor-v1.json,ADD,deng-suixin,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/deng-suixin/evidence-manifest-v1.json,ADD,deng-suixin,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/deng-suixin/validation-report-v1.json,ADD,deng-suixin,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/duan-ranhui/public-advisor-v1.json,ADD,duan-ranhui,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/duan-ranhui/evidence-manifest-v1.json,ADD,duan-ranhui,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/duan-ranhui/validation-report-v1.json,ADD,duan-ranhui,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/fan-liangliang/public-advisor-v1.json,ADD,fan-liangliang,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/fan-liangliang/evidence-manifest-v1.json,ADD,fan-liangliang,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/fan-liangliang/validation-report-v1.json,ADD,fan-liangliang,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/guo-yi/public-advisor-v1.json,ADD,guo-yi,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/guo-yi/evidence-manifest-v1.json,ADD,guo-yi,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/guo-yi/validation-report-v1.json,ADD,guo-yi,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/jiang-hao/public-advisor-v1.json,ADD,jiang-hao,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/jiang-hao/evidence-manifest-v1.json,ADD,jiang-hao,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/jiang-hao/validation-report-v1.json,ADD,jiang-hao,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
site-src/academic/profile/data/packs/li-jinchen/public-advisor-v1.json,ADD,li-jinchen,PENDING_OWNER_RELEASE_AUTHORIZATION,"Release projection must be generated only after authorization"
site-src/academic/profile/data/packs/li-jinchen/evidence-manifest-v1.json,ADD,li-jinchen,PENDING_OWNER_RELEASE_AUTHORIZATION,"Frozen evidence set"
site-src/academic/profile/data/packs/li-jinchen/validation-report-v1.json,ADD,li-jinchen,PENDING_OWNER_RELEASE_AUTHORIZATION,"Activation value must be explicitly authorized"
